key,name,cd,value,display_order,extra_1,extra_2,extra_3,extra_4,extra_5
0000000001,Payment status,0,Chưa thanh toán,0,,,,,
0000000001,Payment status,1,Đã thanh toán,1,,,,,
0000000001,Payment status,2,Thanh toán 1 phần,2,,,,,
0000000002,Warranty period,0,3 tháng,0,3,,,,
0000000002,Warranty period,1,6 tháng,1,6,,,,
0000000003,Payment method,0,Tiền mặt,0,,,,,
0000000003,Payment method,1,Chuyển khoản,1,,,,,
0000000004,Warranty status,0,Không bảo hành,0,,,,,
0000000004,Warranty status,1,Còn bảo hành,1,,,,,
0000000004,Warranty status,2,Hết hạn bảo hành,2,,,,,
